Indexes,,,Vessel Details,,,,,,,,,,,,,,,Deductible Details,,,,,,,,,,,,Burning Costs,,,,,,,,,,,,,,,Loading Costs,,,,,Final Premiums,,,,
#,quote_id,Status,ppoidx,Vessel Name,NS,Segment,Mutuality,IMO,Ship Type,GXL Category,Grs Tonnage,Built Year,Vessel Flag,Domicile,Memb. Exper.,DRAT,NPRI Limit ($m),Ded. Fee Treatment,Cgo Evt/Voy,Ded Cgo,Crew Evt/Voy,Ded Crew,Ded Stev.,Ded Pass.,Ded FFO,RDC 1/4ths,Ded Coll.,Ded Poll.,Ded Other,Cargo,Crew Accident,Crew Illness,Stevedore & 3rd Party,Passenger,Fixed & Floating Objects,Collision,Pollution,"Deviations, Stowaways & Fines",Accidents and Breakdowns,Retained,Abatement,Before Modifiers,After AADL,After Sliders,Pool,RI GXL,RI NON-GXL,Mgt. Expenses,Total Loads,Total Premium,Check0,Rate per Ton,ALR Retained,ALR Retained Less Expenses
38,66263ea99858f39581f40415,calced,1178738,BATISSA,n,PNI,POOLED,9364588,TANKER CHEMICAL,CLEAN TANKER,29733,2008,HONG KONG,UNITED ARAB EMIRATES,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"11,000",II_event,"6,000","6,000","6,000","55,000",CO_4_4THS,"55,000","10,000","10,000","1,045","1,041",888,19,698,238,163,245,99,100,"4,536",37,"4,573","1,216","1,525","1,460","11,840",0,"3,120","16,420","17,945",0,0.604,"4,632","1,512"
39,66263ea99858f39581f40416,calced,1178739,ATLANTIC HOPE,n,PNI,POOLED,9374272,TANKER CHEMICAL,CLEAN TANKER,29266,2008,HONG KONG,UNITED ARAB EMIRATES,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"11,000",II_event,"6,000","6,000","6,000","55,000",CO_4_4THS,"55,000","10,000","10,000","1,045","1,041",888,19,698,238,163,245,99,100,"4,536",37,"4,573","1,216","1,525","1,460","11,654",0,"3,120","16,234","17,759",0,0.607,"4,632","1,512"
40,66263ea99858f39581f40417,calced,1178740,ESHIPS LIWA,n,PNI,POOLED,9374284,TANKER CHEMICAL,CLEAN TANKER,29266,2008,HONG KONG,UNITED ARAB EMIRATES,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"11,000",II_event,"6,000","6,000","6,000","55,000",CO_4_4THS,"55,000","10,000","10,000","1,045","1,041",888,19,698,238,163,245,99,100,"4,536",37,"4,573","1,216","1,525","1,460","11,654",0,"3,120","16,234","17,759",0,0.607,"4,632","1,512"
41,66263ea99858f39581f40418,calced,1178741,ESHIPS RUWAIS,n,PNI,POOLED,9374296,TANKER CHEMICAL,CLEAN TANKER,29266,2008,HONG KONG,UNITED ARAB EMIRATES,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"11,000",II_event,"6,000","6,000","6,000","55,000",CO_4_4THS,"55,000","10,000","10,000","1,045","1,041",888,19,698,238,163,245,99,100,"4,536",37,"4,573","1,216","1,525","1,460","11,654",0,"3,120","16,234","17,759",0,0.607,"4,632","1,512"
42,66263ea99858f39581f40419,calced,1178742,BURSA,n,PNI,POOLED,9387956,TANKER CHEMICAL,CLEAN TANKER,29733,2008,HONG KONG,UNITED ARAB EMIRATES,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"11,000",II_event,"6,000","6,000","6,000","55,000",CO_4_4THS,"55,000","10,000","10,000","1,045","1,041",888,19,698,238,163,245,99,100,"4,536",37,"4,573","1,216","1,525","1,460","11,840",0,"3,120","16,420","17,945",0,0.604,"4,632","1,512"
43,66263ea99858f39581f40420,calced,1178754,LEON M,n,PNI,POOLED,9428011,TANKER CHEMICAL,CLEAN TANKER,8247,2008,PANAMA,GREECE,0.3,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"10,000",II_event,"15,000","15,000","15,000","30,000",CO_4_4THS,"30,000","10,000","10,000","2,194","1,129",926,27,731,444,310,441,209,163,"6,574",41,"6,615","1,759","2,205","1,530","3,284",0,"3,270","8,084","10,289",0,1.25,"5,462","2,192"
44,66263ea99858f39581f40421,calced,1178755,ADAMAS I,n,PNI,POOLED,9428683,TANKER CHEMICAL,CLEAN TANKER,29832,2009,PANAMA,GREECE,0.3,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"10,000",II_event,"15,000","15,000","15,000","30,000",CO_4_4THS,"30,000","10,000","10,000","1,967","1,583","1,297",42,"1,023",463,319,458,188,168,"7,508",44,"7,552","2,008","2,518","1,563","11,879",0,"3,339","16,781","19,298",0,0.647,"5,842","2,503"
45,66263ea99858f39581f40422,calced,1178756,TIGRIS,n,PNI,POOLED,9443841,TANKER CHEMICAL,CLEAN TANKER,8247,2009,MARSHALL ISLANDS,GREECE,0.3,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"10,000",II_event,"15,000","15,000","15,000","30,000",CO_4_4THS,"30,000","10,000","10,000","2,058","1,066",871,24,731,422,295,413,196,163,"6,239",37,"6,276","1,668","2,092","1,519","3,284",0,"3,245","8,048","10,139",0,1.23,"5,325","2,080"
46,66263ea99858f39581f40423,calced,1178757,GALISSAS,n,PNI,POOLED,9397781,TANKER CHEMICAL,CLEAN TANKER,29924,2008,PANAMA,GREECE,0.3,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"10,000",II_event,"15,000","15,000","15,000","30,000",CO_4_4THS,"30,000","10,000","10,000","1,967","1,583","1,297",42,"1,023",463,319,458,188,168,"7,508",44,"7,552","2,008","2,518","1,563","11,916",0,"3,339","16,818","19,335",0,0.646,"5,842","2,503"
47,66263ea99858f39581f40424,calced,1178766,UBT FJORD,n,PNI,POOLED,9417490,TANKER CHEMICAL,CLEAN TANKER,6149,2008,MARSHALL ISLANDS,NORWAY,0,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"21,500",II_event,"9,500","9,500","9,500","11,500",CO_1_4THS,"11,500","11,500","11,500",828,483,400,9,502,189,74,179,82,108,"2,854",24,"2,878",765,959,"1,402","2,449",0,"2,995","6,846","7,804",0,1.27,"3,947",952
