Indexes,,,Vessel Details,,,,,,,,,,,,,,,Deductible Details,,,,,,,,,,,,Burning Costs,,,,,,,,,,,,,,,Loading Costs,,,,,Final Premiums,,,,
#,QuoteID,Status,ppoidx,Vessel Name,NS,Segment,Mutuality,IMO,Ship Type,GXL Category,Grs Tonnage,Built Year,Vessel Flag,Domicile,Memb. Exper.,DRAT,NPRI Limit ($m),Ded. Fee Treatment,Cgo Evt/Voy,Ded Cgo,Crew Evt/Voy,Ded Crew,Ded Stev.,Ded Pass.,Ded FFO,RDC 1/4ths,Ded Coll.,Ded Poll.,Ded Other,Cargo,Crew Accident,Crew Illness,Stevedore & 3rd Party,Passenger,Fixed & Floating Objects,Collision,Pollution,"Deviations, Stowaways & Fines",Accidents and Breakdowns,Retained,Abatement,Before Modifiers,After AADL,After Sliders,Pool,RI GXL,RI NON-GXL,Mgt. Expenses,Total Loads,Total Premium,Check0,Rate per Ton,ALR Retained,ALR Retained Less Expenses
35,66265e1697a8f9f101012cd5,calced,1178682,LIWAV,n,PNI,POOLED,9489039,TANKER PRODUCT,CLEAN TANKER,57748,2011,LIBERIA,UNITED ARAB EMIRATES,-0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"7,500",II_event,"6,500","6,500","6,500","7,500",CO_1_4THS,7500,7500,7500,441,752,737,12,424,488,174,303,95,32,3458,44,3502,931,1167,1423,22995,0.00,3041,27459,28626,0.00,0.50,4194,1153
36,66265e1697a8f9f101012cd5,calced,1178683,MEZAIRAA,n,PNI,POOLED,9487275,TANKER PRODUCT,CLEAN TANKER,42538,2011,LIBERIA,UNITED ARAB EMIRATES,-0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"7,500",II_event,"6,500","6,500","6,500","7,500",CO_1_4THS,7500,7500,7500,465,725,706,11,408,477,168,293,101,28,3382,42,3424,910,1141,1420,16939,0.00,3035,21394,22535,0.00,0.53,4163,1128
37,66265e1697a8f9f101012cd5,calced,1178686,YAMILAHIII,n,PNI,POOLED,9487263,TANKER PRODUCT,CLEAN TANKER,42538,2011,LIBERIA,UNITED ARAB EMIRATES,-0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"7,500",II_event,"6,500","6,500","6,500","7,500",CO_1_4THS,7500,7500,7500,465,725,706,11,408,477,168,293,101,28,3382,42,3424,910,1141,1420,16939,0.00,3035,21394,22535,0.00,0.53,4163,1128
38,66265e1697a8f9f101012cd5,calced,1178738,BATISSA,n,PNI,POOLED,9364588,TANKER CHEMICAL,CLEAN TANKER,29733,2008,HONG KONG,UNITED ARAB EMIRATES,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"11,000",II_event,"6,000","6,000","6,000","55,000",CO_4_4THS,55000,10000,10000,1045,1041,888,19,698,238,163,245,99,100,4536,37,4573,1216,1525,1460,11840,0.00,3120,16420,17945,0.00,0.60,4632,1512
39,66265e1697a8f9f101012cd5,calced,1178739,ATLANTIC HOPE,n,PNI,POOLED,9374272,TANKER CHEMICAL,CLEAN TANKER,29266,2008,HONG KONG,UNITED ARAB EMIRATES,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"11,000",II_event,"6,000","6,000","6,000","55,000",CO_4_4THS,55000,10000,10000,1045,1041,888,19,698,238,163,245,99,100,4536,37,4573,1216,1525,1460,11654,0.00,3120,16234,17759,0.00,0.61,4632,1512
40,66265e1697a8f9f101012cd5,calced,1178740,ESHIPS LIWA,n,PNI,POOLED,9374284,TANKER CHEMICAL,CLEAN TANKER,29266,2008,HONG KONG,UNITED ARAB EMIRATES,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"11,000",II_event,"6,000","6,000","6,000","55,000",CO_4_4THS,55000,10000,10000,1045,1041,888,19,698,238,163,245,99,100,4536,37,4573,1216,1525,1460,11654,0.00,3120,16234,17759,0.00,0.61,4632,1512
41,66265e1697a8f9f101012cd5,calced,1178741,ESHIPS RUWAIS,n,PNI,POOLED,9374296,TANKER CHEMICAL,CLEAN TANKER,29266,2008,HONG KONG,UNITED ARAB EMIRATES,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"11,000",II_event,"6,000","6,000","6,000","55,000",CO_4_4THS,55000,10000,10000,1045,1041,888,19,698,238,163,245,99,100,4536,37,4573,1216,1525,1460,11654,0.00,3120,16234,17759,0.00,0.61,4632,1512
42,66265e1697a8f9f101012cd5,calced,1178742,BURSA,n,PNI,POOLED,9387956,TANKER CHEMICAL,CLEAN TANKER,29733,2008,HONG KONG,UNITED ARAB EMIRATES,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"11,000",II_event,"6,000","6,000","6,000","55,000",CO_4_4THS,55000,10000,10000,1045,1041,888,19,698,238,163,245,99,100,4536,37,4573,1216,1525,1460,11840,0.00,3120,16420,17945,0.00,0.60,4632,1512
43,66265e1697a8f9f101012cd5,calced,1178754,LEON M,n,PNI,POOLED,9428011,TANKER CHEMICAL,CLEAN TANKER,8247,2008,PANAMA,GREECE,0.3,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"10,000",II_event,"15,000","15,000","15,000","30,000",CO_4_4THS,30000,10000,10000,2194,1129,926,27,731,444,310,441,209,163,6574,41,6615,1759,2205,1530,3284,0.00,3270,8084,10289,0.00,1.25,5462,2192
44,66265e1697a8f9f101012cd5,calced,1178755,ADAMAS I,n,PNI,POOLED,9428683,TANKER CHEMICAL,CLEAN TANKER,29832,2009,PANAMA,GREECE,0.3,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"10,000",II_event,"15,000","15,000","15,000","30,000",CO_4_4THS,30000,10000,10000,1967,1583,1297,42,1023,463,319,458,188,168,7508,44,7552,2008,2518,1563,11879,0.00,3339,16781,19298,0.00,0.65,5842,2503
